iter	RMSE
0	2909.075763
1	2503.339858
2	2233.652178
3	2070.011642
4	1964.264306
5	1881.788971
6	1830.69026
7	1792.066159
8	1767.060011
9	1749.035167
10	1731.033788
11	1719.736623
12	1711.023016
13	1700.562217
14	1692.857484
15	1688.044803
16	1678.413781
17	1672.181667
18	1667.12028
19	1663.868103
20	1660.196988
21	1653.080214
22	1650.203187
23	1647.00648
24	1641.176909
25	1638.670964
26	1632.697335
27	1626.143087
28	1621.770903
29	1618.9534
30	1615.347624
31	1612.670305
32	1610.149248
33	1605.663068
34	1600.098844
35	1597.653858
36	1593.992348
37	1591.298712
38	1588.737965
39	1587.303467
40	1584.549876
41	1582.659453
42	1580.937617
43	1578.172339
44	1576.279081
45	1574.640894
46	1572.923058
47	1571.41384
48	1569.607231
49	1566.565594
50	1564.698192
51	1562.260427
52	1560.738877
53	1558.723616
54	1555.98097
55	1553.630342
56	1551.911746
57	1549.906381
58	1548.733055
59	1547.611359
60	1546.67794
61	1545.299635
62	1544.643363
63	1543.841334
64	1543.060653
65	1541.397596
66	1539.833934
67	1538.887388
68	1538.130369
69	1536.597846
70	1535.579646
71	1534.03127
72	1532.242852
73	1531.413001
74	1530.537699
75	1529.75619
76	1528.956778
77	1527.252454
78	1525.986471
79	1525.37313
80	1524.527849
81	1523.396401
82	1522.166757
83	1521.462369
84	1519.956742
85	1518.438287
86	1517.579275
87	1516.708625
88	1515.942274
89	1514.534117
90	1513.650002
91	1512.489229
92	1511.043043
93	1510.316174
94	1509.322455
95	1508.577562
96	1507.563186
97	1506.67297
98	1506.291006
99	1505.39123
100	1504.873264
101	1503.495908
102	1502.771602
103	1501.955336
104	1501.231833
105	1500.535908
106	1500.168139
107	1499.570875
108	1498.876786
109	1498.292063
110	1497.284312
111	1496.164482
112	1495.684873
113	1494.67489
114	1493.891367
115	1493.204492
116	1492.684737
117	1492.124412
118	1491.352976
119	1490.593082
120	1490.18973
121	1489.551353
122	1488.986177
123	1488.516976
124	1487.828391
125	1487.351858
126	1486.62381
127	1486.248648
128	1485.736053
129	1485.328419
130	1484.920693
131	1484.308742
132	1483.650044
133	1482.782644
134	1482.198697
135	1481.593004
136	1481.185771
137	1480.852559
138	1479.968395
139	1479.177181
140	1478.443625
141	1477.7642
142	1476.765082
143	1476.231051
144	1475.707012
145	1475.179852
146	1474.759043
147	1474.350361
148	1472.795054
149	1472.218533
150	1471.785186
151	1471.379661
152	1470.959024
153	1470.387436
154	1469.880402
155	1469.051662
156	1468.576932
157	1468.095536
158	1467.60371
159	1467.1901
160	1466.900911
161	1466.200014
162	1465.73611
163	1465.285667
164	1465.027388
165	1464.40116
166	1464.191885
167	1463.558164
168	1462.566299
169	1462.177129
170	1461.691745
171	1461.323639
172	1460.981989
173	1460.505814
174	1460.095161
175	1459.732607
176	1458.927328
177	1458.546766
178	1458.147177
179	1457.491023
180	1456.909006
181	1456.315676
182	1455.593978
183	1455.36546
184	1454.983846
185	1454.57761
186	1454.212977
187	1453.970147
188	1453.601048
189	1453.05985
190	1452.554322
191	1452.091131
192	1451.833505
193	1451.346802
194	1450.859537
195	1450.64098
196	1450.512763
197	1449.965272
198	1449.68387
199	1449.314996
200	1449.186557
201	1448.621686
202	1448.267309
203	1447.517998
204	1447.250942
205	1446.836571
206	1446.574107
207	1446.168227
208	1445.73554
209	1445.33955
210	1445.008042
211	1444.620598
212	1444.439736
213	1443.899533
214	1443.492639
215	1443.185135
216	1442.815941
217	1442.584962
218	1441.998201
219	1441.229828
220	1441.110662
221	1440.339167
222	1440.076989
223	1439.492225
224	1439.0902
225	1438.860247
226	1438.667606
227	1438.386153
228	1437.994748
229	1437.561754
230	1436.95737
231	1436.809438
232	1436.064955
233	1435.781229
234	1435.382563
235	1435.13409
236	1434.681445
237	1434.484161
238	1434.124236
239	1433.716164
240	1433.219922
241	1432.797628
242	1432.314831
243	1430.913301
244	1430.347775
245	1430.02639
246	1429.664982
247	1429.353524
248	1428.900539
249	1428.613816
