iter	Passed	Remaining
0	7	1746
1	15	1924
2	22	1885
3	30	1859
4	37	1846
5	44	1821
6	51	1778
7	58	1756
8	64	1734
9	71	1708
10	78	1703
11	85	1691
12	91	1671
13	98	1664
14	104	1644
15	111	1626
16	117	1611
17	124	1599
18	130	1588
19	136	1575
20	143	1566
21	150	1555
22	156	1543
23	163	1536
24	170	1532
25	176	1523
26	183	1519
27	191	1516
28	197	1505
29	204	1499
30	210	1490
31	217	1483
32	224	1477
33	231	1471
34	238	1465
35	245	1462
36	252	1456
37	259	1448
38	266	1444
39	273	1436
40	280	1429
41	287	1422
42	293	1414
43	300	1407
44	307	1400
45	314	1395
46	321	1386
47	327	1377
48	334	1371
49	341	1364
50	348	1358
51	354	1350
52	361	1342
53	367	1335
54	374	1329
55	381	1321
56	388	1316
57	395	1310
58	402	1303
59	409	1298
60	416	1290
61	423	1283
62	429	1275
63	436	1268
64	443	1261
65	451	1257
66	457	1249
67	464	1242
68	471	1235
69	478	1229
70	485	1223
71	492	1218
72	500	1213
73	507	1207
74	513	1199
75	520	1191
76	527	1185
77	534	1177
78	540	1170
79	547	1163
80	554	1156
81	561	1150
82	567	1142
83	574	1134
84	580	1127
85	588	1121
86	595	1115
87	602	1109
88	609	1102
89	615	1094
90	622	1088
91	630	1082
92	637	1076
93	644	1069
94	651	1063
95	658	1056
96	665	1049
97	672	1042
98	678	1035
99	685	1028
100	692	1021
101	699	1015
102	706	1008
103	712	1000
104	719	993
105	726	986
106	732	979
107	739	972
108	746	965
109	753	959
110	760	952
111	767	945
112	773	937
113	781	931
114	788	925
115	796	919
116	802	912
117	809	905
118	816	898
119	823	892
120	830	885
121	837	878
122	843	871
123	850	864
124	857	857
125	864	850
126	871	843
127	877	836
128	885	830
129	891	823
130	898	816
131	905	809
132	912	802
133	919	796
134	926	789
135	933	782
136	939	775
137	945	767
138	953	761
139	959	753
140	966	747
141	973	740
142	982	735
143	990	729
144	998	722
145	1004	715
146	1011	708
147	1017	701
148	1024	694
149	1031	687
150	1038	680
151	1044	673
152	1051	666
153	1058	659
154	1065	652
155	1072	646
156	1079	639
157	1085	632
158	1092	625
159	1099	618
160	1106	611
161	1113	605
162	1121	598
163	1128	591
164	1135	584
165	1141	577
166	1148	570
167	1155	563
168	1161	556
169	1168	550
170	1175	543
171	1182	536
172	1189	529
173	1196	522
174	1202	515
175	1208	508
176	1215	501
177	1222	494
178	1229	487
179	1236	480
180	1243	473
181	1250	467
182	1257	460
183	1263	453
184	1269	446
185	1276	439
186	1283	432
187	1290	425
188	1297	418
189	1305	412
190	1312	405
191	1319	398
192	1325	391
193	1332	384
194	1339	377
195	1346	370
196	1352	363
197	1359	356
198	1365	349
199	1372	343
200	1378	336
201	1385	329
202	1392	322
203	1400	315
204	1407	308
205	1413	301
206	1420	294
207	1426	288
208	1433	281
209	1441	274
210	1447	267
211	1454	260
212	1460	253
213	1468	246
214	1474	240
215	1481	233
216	1488	226
217	1495	219
218	1502	212
219	1508	205
220	1514	198
221	1521	191
222	1528	185
223	1534	178
224	1541	171
225	1548	164
226	1554	157
227	1560	150
228	1567	143
229	1574	136
230	1582	130
231	1588	123
232	1595	116
233	1602	109
234	1609	102
235	1616	95
236	1624	89
237	1630	82
238	1637	75
239	1645	68
240	1652	61
241	1658	54
242	1665	47
243	1672	41
244	1679	34
245	1686	27
246	1693	20
247	1700	13
248	1707	6
249	1713	0
